Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Manufacturing,Asia,South Africa,2016,179.92,369.71,13.39,159.19,2.8,9.5,1140.43,10022.12,32.98,79.61,-8.11,5.48
Manufacturing,South America,South Africa,2014,127.89,398.68,78.68,190.74,28.23,16.87,115.74,8656.92,84.99,9.31,-4.61,-1.95
Construction,Africa,South Africa,2017,20.62,631.49,46.51,173.87,34.98,2.83,1027.87,14022.31,82.7,63.28,2.11,-4.36
Construction,Africa,Brazil,2005,222.02,907.32,60.91,155.08,8.26,17.17,238.96,1839.14,81.91,59.5,0.2,-4.01
Construction,Europe,South Africa,2019,246.2,294.87,99.12,82.64,8.86,18.77,301.2,1788.11,67.22,56.84,2.29,3.56
Energy,Asia,Brazil,2021,12.91,947.63,36.0,196.56,46.58,19.09,170.44,15257.0,21.63,43.32,2.29,-0.72
Mining,Africa,Canada,2018,113.03,282.92,34.92,53.02,20.11,6.08,1092.52,18197.79,50.6,95.28,4.74,9.89
Mining,South America,Canada,2011,167.42,815.49,26.39,132.29,13.8,14.41,1407.91,18687.35,77.76,2.76,12.12,4.29
Mining,Europe,Australia,2008,181.75,276.2,12.8,26.21,2.37,1.34,434.63,16858.1,84.08,92.2,11.19,1.93
Mining,Africa,India,2007,173.66,73.45,16.9,121.22,1.94,5.86,757.58,18723.17,33.0,92.07,6.0,5.75
Construction,Asia,USA,2014,208.04,812.4,51.48,138.01,12.98,6.67,744.48,8998.86,44.23,99.71,10.04,2.81
Energy,Europe,South Africa,2000,290.06,450.35,90.99,18.15,31.04,14.21,11.03,19284.72,63.86,83.83,-5.6,7.35
Energy,Asia,Australia,2001,117.48,391.05,81.01,59.06,30.3,6.5,466.4,5546.69,88.93,92.13,-7.22,-3.0
Construction,Asia,USA,2002,167.21,430.17,18.33,128.34,11.35,1.42,325.09,7922.02,23.75,11.86,3.08,1.76
Energy,Asia,Australia,2018,209.87,611.77,56.21,120.47,37.16,9.41,11.09,897.07,96.55,84.94,6.29,4.53
Construction,Europe,South Africa,2009,177.93,263.06,84.71,133.68,23.11,6.07,206.74,22139.21,91.5,21.12,-2.38,8.83
Mining,Africa,Brazil,2013,116.33,237.66,54.0,24.98,39.99,15.45,844.59,17237.07,37.79,50.81,13.12,-4.69
Construction,Oceania,Australia,2018,187.41,483.7,91.15,103.11,46.23,10.35,1041.09,23118.69,34.15,62.9,-7.32,9.98
Mining,North America,China,2010,195.21,36.12,90.8,185.53,11.94,6.23,1498.25,8092.46,62.66,40.18,-3.38,-3.17
Mining,Africa,USA,2020,175.7,643.03,34.89,190.76,22.47,1.19,1061.43,21951.35,86.6,41.49,14.08,6.99
Manufacturing,Europe,USA,2005,61.93,822.93,87.41,25.43,2.75,4.43,135.9,13960.19,68.49,14.15,9.3,4.77
Construction,North America,Brazil,2018,152.04,727.55,58.55,178.89,38.16,3.48,665.9,20000.22,47.56,49.98,-4.99,8.15
Manufacturing,North America,Canada,2013,265.36,469.57,48.04,115.34,16.2,7.04,998.12,13022.51,40.36,71.19,-0.78,7.02
Construction,North America,USA,2007,260.65,565.61,77.45,150.61,32.6,0.83,741.49,513.15,77.07,5.88,8.16,9.05
Construction,Oceania,India,2001,225.36,26.67,78.98,30.21,19.12,0.94,468.85,12389.24,49.86,31.65,12.95,3.57
Manufacturing,South America,Brazil,2021,209.31,912.4,67.57,147.6,7.21,18.3,83.04,19034.18,94.1,93.25,-3.67,3.49
Manufacturing,Europe,USA,2017,46.41,558.28,81.11,14.31,0.45,17.85,608.21,24241.74,74.82,48.75,13.73,3.92
Construction,Oceania,USA,2021,138.11,316.75,95.15,126.64,32.05,14.23,509.27,15357.32,65.47,79.69,5.52,1.12
Energy,Oceania,USA,2003,33.73,293.94,87.32,133.65,46.72,14.45,1290.1,17665.28,20.69,5.92,-0.04,-4.61
Mining,South America,Brazil,2002,245.28,659.83,7.52,132.98,45.19,1.66,257.35,22675.69,98.93,71.97,13.76,-3.62
Manufacturing,North America,Canada,2001,87.67,584.54,85.02,11.83,47.03,3.05,1449.47,19276.66,39.81,92.69,13.18,9.71
Mining,South America,China,2003,230.18,188.25,78.17,76.9,34.44,5.68,1254.41,20880.23,61.65,71.0,0.16,4.47
Energy,South America,Germany,2017,244.47,410.21,92.68,148.9,21.51,10.06,388.73,18039.23,43.32,11.83,-0.97,1.46
Energy,Oceania,Australia,2010,267.8,676.34,73.98,159.38,26.37,16.97,52.66,13516.9,22.03,75.38,14.52,-2.01
Energy,Europe,South Africa,2008,226.27,298.01,87.8,83.16,36.34,19.68,704.25,17684.08,36.37,39.63,10.73,9.06
Manufacturing,Asia,Australia,2007,169.64,509.52,1.12,32.49,15.01,15.6,969.29,3463.68,93.08,54.38,1.47,9.65
Energy,South America,USA,2020,179.66,255.25,97.78,99.94,9.66,3.14,459.56,2776.28,47.69,76.46,6.37,-4.73
Manufacturing,South America,Australia,2007,96.51,72.15,19.17,130.09,3.49,17.98,20.66,9758.33,31.09,6.94,-2.19,-4.4
Energy,North America,Germany,2004,53.51,388.55,86.44,184.09,23.89,13.87,1431.51,3254.45,26.16,78.07,14.0,-1.12
Mining,North America,Germany,2012,39.63,732.21,92.97,136.3,4.67,1.87,510.83,10237.72,56.45,39.2,-0.89,6.58
Mining,Oceania,USA,2006,55.02,214.24,0.32,164.55,23.07,6.88,1398.4,22623.45,33.9,86.61,-6.47,1.3
Construction,North America,USA,2020,280.22,754.63,91.38,53.02,40.66,16.09,482.02,19613.51,58.19,1.29,11.8,0.0
Mining,Africa,South Africa,2004,49.75,669.66,82.94,166.66,7.74,17.46,960.14,6921.24,45.54,46.87,4.68,-4.64
Construction,South America,Canada,2012,217.26,507.62,92.25,122.43,6.12,14.99,884.54,23229.03,26.51,85.02,8.09,9.33
Mining,North America,Germany,2019,55.8,971.47,17.77,109.84,12.35,9.68,1219.12,1744.74,46.01,73.29,12.24,8.77
Manufacturing,Europe,China,2015,292.6,883.47,77.77,53.45,4.25,19.92,1365.33,12856.69,64.89,94.68,9.02,-2.82
Mining,Africa,Germany,2013,110.29,563.39,48.8,40.86,18.29,0.15,691.12,4060.62,83.03,94.32,5.95,8.05
Construction,Oceania,China,2004,123.93,558.0,25.84,108.82,30.48,2.21,638.71,8359.47,20.28,86.08,1.0,4.9
Construction,Asia,Canada,2022,121.65,278.13,75.64,178.3,23.66,9.27,1203.72,9497.93,52.81,31.78,10.42,-2.35
Energy,South America,Australia,2018,245.03,920.24,47.38,47.15,36.04,14.21,200.92,10669.34,33.01,21.29,-5.83,8.63
Manufacturing,South America,India,2003,65.88,895.98,90.0,55.81,6.1,0.64,390.11,17181.06,65.15,20.04,13.28,-4.27
Mining,Europe,China,2021,249.39,742.19,71.1,189.59,17.08,8.63,178.63,16539.45,27.51,35.39,6.95,6.1
Energy,Asia,South Africa,2010,197.29,128.32,14.0,5.42,20.91,5.1,450.01,13340.41,50.36,0.86,-1.09,-0.88
Mining,Asia,Brazil,2001,66.47,703.79,25.15,97.13,23.04,11.25,815.65,6715.99,71.71,77.86,13.09,7.9
Mining,Oceania,Canada,2012,20.09,253.49,26.53,105.8,3.53,6.35,1031.91,8927.01,58.61,49.43,7.05,-1.39
Energy,Oceania,Australia,2015,232.61,189.22,34.47,135.18,3.3,13.11,410.78,4778.7,35.68,93.79,-3.17,-1.22
Energy,Africa,USA,2008,66.08,759.33,66.68,38.88,4.31,3.02,1050.98,1610.15,54.32,37.52,3.11,8.5
Energy,South America,Canada,2015,266.78,959.75,89.44,114.33,7.1,15.22,625.6,8837.18,24.84,63.94,-1.57,6.43
Energy,North America,India,2006,39.37,109.35,59.41,21.98,0.12,10.96,1116.37,14205.99,75.17,70.21,1.6,5.79
Energy,Oceania,Germany,2015,185.1,164.39,75.2,53.47,15.17,15.06,805.37,13123.1,82.88,22.45,0.72,-2.5
Mining,Europe,China,2012,207.8,219.62,31.74,3.12,20.63,9.82,1301.63,16200.87,20.42,1.41,1.79,5.1
Energy,Europe,India,2004,197.48,962.93,52.29,90.74,27.48,7.66,1272.94,6844.2,79.08,0.85,3.46,5.14
Manufacturing,Europe,Australia,2014,95.15,696.55,50.46,35.1,1.46,4.82,639.57,11599.68,46.67,42.14,-8.58,7.02
Construction,Oceania,Brazil,2006,262.72,678.45,70.14,19.44,22.31,17.72,1209.7,24140.26,31.68,62.56,3.52,8.43
Energy,Oceania,Canada,2017,231.06,505.27,51.84,68.93,46.91,8.79,867.04,8778.2,51.61,7.07,0.48,6.19
Energy,Europe,China,2019,153.31,537.83,33.49,15.94,37.59,9.56,361.43,10953.22,53.36,57.12,11.57,2.59
Mining,Oceania,South Africa,2022,181.19,290.53,24.47,132.92,16.12,10.59,175.16,2102.24,55.11,39.59,1.17,-0.12
Energy,North America,Germany,2001,170.13,154.97,25.55,40.25,26.36,10.44,71.39,3521.56,55.32,29.03,5.32,2.57
Energy,North America,Germany,2007,284.04,780.39,98.09,142.08,34.96,11.78,373.25,16059.12,67.61,54.06,14.25,0.62
Energy,Africa,China,2009,268.98,470.96,35.81,167.99,7.81,2.78,125.0,23784.43,25.14,3.87,-5.62,3.24
Mining,South America,Canada,2009,71.03,256.38,80.68,148.29,3.7,16.69,282.86,23313.57,41.7,55.76,1.46,5.77
Energy,North America,Brazil,2010,79.2,632.96,7.23,152.59,30.98,6.95,633.11,13960.97,94.5,23.72,-5.46,7.93
Construction,Africa,Canada,2020,294.44,209.85,9.06,128.79,36.88,3.13,237.38,12124.08,22.96,25.95,-0.2,4.53
Mining,Asia,USA,2020,71.35,489.03,68.65,75.32,25.76,3.51,1093.85,24266.13,80.99,88.45,-3.3,9.18
Construction,South America,USA,2007,286.07,190.62,45.78,69.77,34.8,7.29,20.62,13891.71,43.68,53.93,9.09,5.22
Mining,North America,Germany,2015,195.1,759.79,88.06,113.83,35.98,5.23,1389.94,23315.04,64.34,56.95,0.1,4.48
Energy,Asia,Australia,2015,15.51,321.14,86.24,49.68,32.24,16.71,577.63,20575.47,20.69,46.74,-9.26,-4.09
Construction,Africa,Australia,2016,101.05,441.98,75.59,69.0,46.84,17.59,160.38,12940.72,39.62,63.12,14.15,-1.23
Mining,North America,Brazil,2005,143.11,755.0,81.55,31.14,26.85,14.27,13.8,5778.19,84.49,58.4,5.09,2.95
Manufacturing,North America,Germany,2017,250.01,659.77,87.06,156.05,2.94,16.25,1376.99,12782.73,86.79,94.64,-9.77,0.35
Energy,Oceania,USA,2016,98.91,400.0,78.38,147.15,28.3,0.36,689.57,18326.16,57.77,92.87,7.38,7.69
Mining,Asia,Germany,2011,93.52,71.49,52.74,100.7,32.01,1.81,1306.68,18448.07,92.27,15.96,-1.58,-1.87
Manufacturing,North America,Canada,2014,276.12,921.65,26.55,73.98,17.11,16.22,815.59,21179.82,38.05,63.45,-7.33,-2.54
Mining,Europe,China,2006,24.17,8.42,78.76,139.37,23.69,9.45,178.55,11726.13,25.57,3.43,-7.3,1.78
Manufacturing,Oceania,Australia,2013,165.68,734.73,31.84,17.03,38.55,18.81,977.53,12528.71,96.09,33.33,-5.35,1.67
Energy,Oceania,Australia,2003,151.52,945.43,24.56,9.65,35.97,17.0,1105.11,797.65,66.44,14.62,7.75,9.77
Construction,North America,South Africa,2016,17.67,307.02,17.25,139.98,8.96,6.83,788.85,10603.62,61.41,79.25,-7.75,3.98
Manufacturing,Oceania,China,2010,26.78,75.9,62.76,110.06,11.97,6.48,420.19,20292.08,45.38,21.79,-3.49,-1.29
Mining,South America,South Africa,2005,114.9,249.92,24.32,146.67,28.58,17.66,1251.51,15323.61,42.82,58.18,-8.25,5.81
Energy,Asia,Brazil,2009,40.68,313.76,37.55,55.99,19.58,8.75,142.77,871.54,31.41,10.35,12.84,4.73
Manufacturing,South America,USA,2014,143.68,451.59,70.94,21.75,37.55,9.04,804.92,6548.58,69.64,10.67,-6.46,0.21
Mining,Africa,Brazil,2005,182.86,525.48,79.4,86.05,5.15,10.74,1253.36,16755.08,23.72,1.19,4.3,-4.02
Mining,South America,Brazil,2015,207.57,725.47,31.54,85.4,16.35,15.36,596.53,17293.93,75.86,7.33,11.9,9.21
Mining,Europe,USA,2011,164.17,900.96,84.3,151.83,18.45,7.31,600.07,17470.63,83.93,99.44,-0.65,-0.53
Manufacturing,Oceania,India,2018,114.21,465.06,5.89,24.51,21.59,8.41,432.79,9536.16,51.5,76.66,8.55,8.48
Manufacturing,Oceania,India,2015,39.36,746.46,98.59,189.22,38.34,9.04,545.06,14855.35,87.41,17.07,14.52,4.9
Manufacturing,Europe,Germany,2013,74.62,127.64,41.75,11.29,1.02,16.78,510.25,13504.45,64.48,95.07,0.95,4.0
Construction,Oceania,India,2005,126.12,329.12,32.56,62.66,7.32,8.4,545.72,21367.05,66.18,75.17,-8.84,-2.53
Manufacturing,South America,China,2008,277.27,118.52,92.38,140.63,27.6,16.67,115.68,3344.95,24.63,2.89,4.68,6.36
Manufacturing,Africa,Australia,2021,61.18,691.9,13.33,143.52,24.39,11.12,479.7,4833.7,72.04,57.84,10.25,2.54
Manufacturing,North America,South Africa,2000,124.3,907.69,35.84,113.45,47.58,12.04,1413.53,22767.87,41.86,1.02,-6.85,0.22
Construction,Europe,Australia,2021,219.83,889.11,35.95,14.28,2.89,12.81,569.02,7574.94,54.81,79.87,2.89,-0.7
Manufacturing,South America,Brazil,2007,211.71,326.79,42.49,171.29,14.9,7.73,1401.03,19502.42,33.27,26.9,9.04,0.36
Mining,South America,Australia,2006,289.69,234.6,84.85,126.98,38.92,12.18,55.08,22744.63,32.19,66.14,9.15,6.13
Manufacturing,South America,Germany,2013,57.67,274.41,84.95,151.79,48.07,3.64,953.56,11796.39,46.12,2.68,8.48,1.75
Mining,North America,Brazil,2007,5.45,287.69,59.2,77.31,49.71,6.4,590.38,9746.17,66.09,31.61,9.04,8.08
Mining,Asia,USA,2010,97.04,82.7,99.18,48.75,14.66,17.06,519.79,9485.91,72.01,15.05,2.99,3.8
Mining,Oceania,Canada,2008,45.33,133.78,84.43,144.05,29.82,7.34,859.2,12754.6,65.99,31.86,10.48,0.64
Construction,Oceania,Australia,2018,164.77,214.88,68.14,163.12,47.89,7.84,169.29,8203.96,27.5,81.46,4.94,4.93
Construction,Africa,India,2006,269.68,8.66,20.03,162.52,48.87,18.0,1095.28,22086.36,67.15,91.57,13.83,-2.69
Construction,Asia,Canada,2005,206.62,47.71,55.02,143.46,5.98,6.88,1234.84,12018.8,96.53,93.99,-2.67,-2.51
Manufacturing,Oceania,USA,2017,41.17,698.7,21.47,27.88,17.79,13.0,58.71,614.53,91.48,79.5,10.93,1.6
Mining,Africa,Germany,2004,35.27,619.51,30.24,44.44,36.71,18.9,232.34,8103.26,57.47,44.57,5.31,7.77
Construction,Africa,South Africa,2018,273.48,945.45,68.62,100.14,27.99,19.96,175.11,8264.91,83.26,35.35,9.04,2.11
Construction,South America,China,2010,146.54,402.06,18.52,101.52,28.85,10.78,1408.63,19059.47,56.86,59.0,0.77,-3.91
Manufacturing,Europe,India,2004,277.14,444.61,9.18,97.76,21.59,12.24,1037.33,19799.94,35.36,5.66,7.77,6.22
Construction,South America,USA,2008,221.0,68.2,53.2,165.23,42.23,8.75,431.04,21578.77,82.93,89.71,9.27,9.04
Manufacturing,North America,South Africa,2007,298.01,152.67,0.2,25.16,3.32,15.02,146.38,23023.65,43.1,50.43,6.76,-0.9
Energy,Oceania,Canada,2010,261.43,691.76,60.93,158.47,11.54,14.42,1000.66,20635.85,30.62,97.36,5.8,-0.62
Construction,Africa,Australia,2021,124.56,235.42,90.14,4.56,35.19,7.67,133.22,7031.91,43.25,17.04,11.22,7.38
Energy,Europe,India,2005,227.59,773.39,19.11,64.68,40.98,1.22,1382.73,9253.6,48.3,57.08,13.48,1.13
Manufacturing,Oceania,Brazil,2014,141.63,705.83,38.34,39.38,48.54,12.56,397.75,14115.09,38.95,95.88,12.43,6.99
Mining,Africa,China,2005,70.31,747.39,91.65,105.38,14.88,0.77,399.45,1715.45,92.37,29.66,-7.93,9.24
Construction,Africa,Australia,2021,72.69,690.74,70.42,104.83,11.09,12.81,689.06,19057.97,45.37,66.19,4.22,-2.46
Manufacturing,South America,Canada,2010,119.5,707.81,13.62,101.36,12.99,16.3,1416.34,11954.15,82.7,50.68,-7.3,1.28
Mining,Europe,South Africa,2014,33.88,547.03,38.26,57.83,12.54,11.57,585.28,23136.07,99.53,93.61,6.26,4.81
Mining,Europe,India,2011,53.74,678.4,75.62,104.41,23.89,6.73,516.71,17672.75,54.23,64.32,-5.62,3.92
Energy,Oceania,Australia,2008,150.43,526.42,66.51,141.19,14.26,10.12,877.12,17820.83,55.96,75.89,6.33,8.09
Manufacturing,Africa,China,2009,286.2,206.49,15.65,78.81,7.05,7.25,1465.79,4533.36,35.34,42.29,12.54,-1.86
Mining,Europe,South Africa,2014,173.52,218.0,6.34,185.74,2.78,2.31,367.24,23957.01,80.69,38.25,1.47,-0.2
Construction,Europe,Brazil,2016,122.84,405.6,68.2,13.79,12.87,6.41,1301.74,24285.95,50.14,17.34,13.95,-2.89
Construction,Oceania,Canada,2015,73.19,14.41,60.94,197.42,40.89,9.8,743.95,14752.06,77.98,26.75,3.55,2.08
Energy,South America,Brazil,2021,59.17,889.35,6.03,152.3,42.24,6.91,1182.06,5080.26,25.08,35.44,6.96,2.42
Mining,Asia,USA,2007,197.69,268.63,97.48,118.68,29.59,0.56,553.04,2059.86,70.88,27.91,13.02,-4.83
Manufacturing,North America,Canada,2016,254.57,52.01,25.32,40.75,19.85,1.94,676.25,19431.07,36.83,58.46,7.12,-0.13
Construction,Asia,Germany,2010,119.96,424.71,38.66,125.5,13.4,2.55,583.8,15790.19,51.62,24.61,-5.71,-4.62
Mining,Europe,USA,2010,165.42,815.69,17.84,160.44,2.07,8.36,769.55,3945.43,62.02,14.6,-8.11,1.5
Mining,Africa,China,2005,212.16,397.65,82.87,50.8,49.52,0.79,241.43,20136.41,84.74,80.48,-1.36,6.43
Energy,North America,Canada,2021,17.96,263.05,96.26,8.08,19.15,9.62,1242.14,4393.64,89.33,43.97,1.46,7.34
Construction,North America,USA,2001,105.59,545.13,21.41,88.61,18.71,1.33,584.43,4737.24,90.41,58.13,-4.92,-4.8
Construction,Africa,South Africa,2000,219.06,574.59,28.39,60.96,19.93,18.24,495.78,14206.37,83.44,59.21,-5.09,-3.93
Manufacturing,North America,India,2019,205.54,759.31,70.68,57.3,38.86,19.87,1257.55,12478.77,65.51,87.3,-0.73,1.92
Construction,Africa,South Africa,2005,16.48,799.85,52.84,144.99,32.95,7.66,324.43,15635.41,38.48,57.48,13.04,7.29
Manufacturing,North America,USA,2004,71.73,706.35,10.6,29.69,47.17,15.66,1091.34,13111.29,21.25,27.06,3.71,8.14
Construction,Oceania,Germany,2022,204.15,5.04,92.87,130.22,3.82,17.91,511.1,20791.01,63.45,99.42,-3.71,-3.95
Energy,Oceania,South Africa,2021,81.79,2.58,61.15,12.35,48.05,16.92,857.17,114.93,91.41,11.81,6.64,2.91
Construction,Asia,South Africa,2021,244.42,977.46,30.2,183.99,29.52,11.19,775.17,9802.36,79.1,86.58,-3.27,-2.91
Manufacturing,North America,South Africa,2008,9.34,264.57,49.03,117.26,46.48,9.12,869.9,20497.32,98.59,70.74,-6.09,6.85
Manufacturing,South America,Germany,2004,57.51,282.71,50.07,186.2,38.22,6.56,874.62,13708.22,47.97,12.21,-7.87,9.0
Energy,Africa,Canada,2017,84.75,732.37,52.59,173.59,49.32,1.83,1031.99,24714.71,53.42,34.04,6.66,2.32
Construction,North America,South Africa,2018,277.62,581.79,49.78,173.98,10.73,19.41,702.04,24493.22,74.31,96.65,6.16,9.71
Construction,Oceania,China,2014,239.0,463.83,56.22,24.04,26.08,1.31,738.26,23977.46,84.85,71.49,8.64,8.37
Energy,Oceania,Brazil,2014,265.3,116.88,39.4,139.21,46.94,3.83,1137.91,24504.0,76.63,82.15,-8.44,-2.44
Construction,Africa,Germany,2008,132.42,81.95,14.7,80.14,6.96,10.2,313.92,13425.66,56.96,22.86,2.54,-0.62
Construction,South America,China,2013,246.86,703.77,66.49,91.88,39.02,1.76,1168.47,12590.8,63.19,11.64,-8.62,0.32
Manufacturing,North America,Germany,2004,256.12,125.04,79.27,55.89,45.71,14.13,13.13,12885.01,44.34,96.31,-5.73,-0.41
Construction,North America,Germany,2016,120.29,436.09,84.12,28.05,18.81,0.34,866.04,164.29,70.96,52.26,4.4,2.91
Construction,South America,Canada,2014,298.34,736.26,2.29,61.33,22.21,17.02,653.7,5384.76,34.49,12.68,12.54,7.75
Energy,South America,Brazil,2019,255.45,923.24,40.52,109.95,41.62,18.41,949.09,4633.93,87.03,58.61,-4.88,8.12
Energy,South America,India,2016,292.24,873.65,97.85,82.07,28.36,13.61,733.56,3307.49,77.17,75.97,14.73,7.7
Mining,Oceania,Canada,2008,260.02,864.1,6.35,140.81,23.98,12.74,1184.89,6180.23,67.86,20.45,7.2,-1.19
Manufacturing,Africa,Canada,2012,232.97,358.82,78.58,167.82,13.78,11.87,297.39,24714.5,45.33,8.73,11.81,5.82
Construction,South America,China,2021,283.18,927.21,12.7,42.22,26.85,1.55,405.63,69.87,34.36,80.94,7.07,-4.86
Construction,Africa,Germany,2012,126.24,683.82,82.48,11.35,18.86,6.84,867.01,11945.02,31.5,63.57,10.23,9.89
Mining,Asia,Australia,2004,235.11,886.54,67.25,198.17,23.61,12.67,354.14,20870.33,74.65,5.06,-7.0,2.94
Construction,North America,Germany,2013,64.26,89.38,72.53,176.54,42.52,4.3,1417.37,9212.88,69.95,21.13,5.37,-0.36
Manufacturing,North America,USA,2006,219.97,40.04,97.73,53.1,42.29,0.19,1290.09,7673.27,25.47,57.61,-1.34,7.91
Mining,Europe,South Africa,2004,235.71,429.93,93.95,32.61,1.15,10.66,1140.5,11393.12,55.21,96.69,1.81,-4.51
Manufacturing,Asia,India,2011,215.1,828.1,30.51,190.21,27.34,7.15,1128.17,20157.72,45.57,19.75,12.53,-4.71
Mining,South America,Brazil,2002,255.02,408.83,37.58,46.56,47.54,4.72,970.02,6821.24,41.19,20.23,0.74,5.07
Mining,South America,Australia,2008,124.29,884.7,40.78,44.46,22.36,16.17,1102.01,22066.14,24.8,52.64,4.97,-1.7
